Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3,Residential Light Demand,GWh,Falling Behind,Electricity,Annual [Fiscal],13839.05,11853.9,10200.584,8819.097,7763.779,7048.767,6601.729,6171.677,5733.049,5398.89,5184.139,5034.542,4894.328,4741.614,4583.168,4408.909,4235.558,4085.045,3953.524,3832.994,3727.665,3633.808,3550.313,3467.459,3389.71,3309.47,3231.062,3151.403
3,Residential Light Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],13839.05,11853.9,9726.34,8244.68,7127.54,6359.815,5873.983,5389.447,4912.163,4544.821,4311.693,4133.801,3971.581,3813.455,3635.499,3452.436,3265.619,3099.709,2953.743,2825.064,2707.904,2608.299,2513.328,2426.55,2342.892,2257.739,2176.046,2090.715
3,Residential Light Demand,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],13839.05,11853.9,9851.441,8401.283,7306.23,6549.062,6074.281,5608.011,5132.289,4768.018,4547.911,4384.576,4228.193,,,,,,,,,,,,,,,
3,Residential Storage Heat,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],14856.071,14664.993,14806.795,14925.129,14989.719,15018.861,15032.485,14678.642,14326.581,13925.963,13492.372,12999.436,12419.572,13231.545,14033.877,14822.63,15606.429,16459.167,17250.504,18253.851,19227.838,20105.468,20814.384,21405.596,21908.142,22295.81,22580.731,22903.003
3,Residential Storage Heat,GWh,Electric Engagement,Electricity,Annual [Fiscal],14856.071,14664.993,14805.672,14923.765,14990.865,15026.051,15048.317,14704.661,14346.049,13938.386,13495.829,12994.572,12410.085,13894.867,15341.628,16733.538,18051.789,19393.535,20725.129,22358.793,23879.408,25286.034,26461.869,27458.361,28310.572,28929.518,29509.544,30116.55
3,Residential Storage Heat,GWh,Falling Behind,Electricity,Annual [Fiscal],14856.071,14664.993,14857.316,14998.636,15092.663,15147.588,15182.037,14839.398,14534.993,14242.306,13972.034,13718.007,13480.352,13469.906,13498.77,13545.084,13615.694,13771.805,13899.723,14089.343,14106.383,14127.788,14153.915,14123.728,14067.479,14021.648,13988.042,13976.319
3,Residential Storage Heat,GWh,Holistic Transition,Electricity,Annual [Fiscal],14856.071,14664.993,14805.861,14923.949,14990.82,15025.59,15047.259,14702.835,14343.106,13933.659,13487.304,12981.831,12393.345,12381.056,12358.687,12327.249,12278.816,12279.699,12301.077,12420.096,12440.131,12389.13,12262.323,12089.877,11935.968,11767.814,11626.708,11539.555
3,Residential Storage Heat,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],14856.071,14664.993,14834.849,14926.919,14994.167,15023.364,15032.893,14671.348,14332.834,13929.965,13480.163,12955.167,12381.303,,,,,,,,,,,,,,,
3,Residential Resistive Heat Demand,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],5181.688,5326.87,5436.252,5509.419,5596.641,5458.247,5309.826,5007.046,4700.636,4392.734,4085.562,3779.485,3475.878,4062.175,4595.254,5105.368,5590.58,6081.678,6483.65,6978.771,7649.558,8269.895,8771.67,9215.508,9613.046,9939.867,10188.816,10432.097
3,Residential Resistive Heat Demand,GWh,Electric Engagement,Electricity,Annual [Fiscal],5181.688,5326.87,5436.24,5509.428,5596.696,5458.389,5310.088,5007.441,4700.949,4393.098,4085.934,3780.786,3478.149,4555.164,5541.949,6470.009,7317.818,8116.802,8818.137,9649.407,10577.078,11459.069,12187.354,12832.85,13424.307,13863.388,14256.728,14642.921
3,Residential Resistive Heat Demand,GWh,Falling Behind,Electricity,Annual [Fiscal],5181.688,5326.87,5456.392,5507.353,5562.317,5443.587,5326.29,5103.863,4901.028,4704.005,4513.153,4328.415,4150.518,4040.078,3966.599,3978.247,4248.402,5564.867,9012.605,12062.308,14638.992,16711.183,18341.658,19611.96,20768.909,21943.713,23174.283,24418.109
3,Residential Resistive Heat Demand,GWh,Holistic Transition,Electricity,Annual [Fiscal],5181.688,5326.87,5437.721,5511.116,5599.759,5451.374,5280.317,4970.994,4661.024,4349.995,4040.706,3734.526,3430.649,3998.736,4507.161,4967.042,5375.308,5780.701,6106.499,6561.648,7139.628,7666.379,8093.157,8430.051,8727.018,8965.044,9189.951,9400.211
