Simulation Name,Spotlight year,Historical weather year,Weather-conditional LOLE (h/year),Weather-conditional EEU (MWh/year)
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1996/97,7.47,125760
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1997/98,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1998/99,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1999/2000,0.04,480
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2000/01,48.55,802730
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2001/02,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2002/03,0.04,180
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2003/04,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2004/05,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2005/06,49.84,935650
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2006/07,1.48,14110
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2007/08,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2008/09,8.49,85000
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2009/10,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2010/11,15.91,325980
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2011/12,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2012/13,0.76,5090
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2013/14,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2014/15,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2015/16,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2016/17,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,2017/18,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1984/85,12.97,180300
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1985/86,35.93,376520
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1986/87,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1987/88,0.02,90
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1988/89,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1989/90,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1990/91,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1991/92,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1992/93,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1993/94,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1994/95,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1995/96,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1996/97,2.68,25080
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1997/98,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1998/99,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,1999/2000,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2000/01,0.02,70
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2001/02,0.01,10
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2002/03,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2003/04,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2004/05,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2005/06,0.01,40
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2006/07,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2007/08,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2008/09,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2009/10,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2010/11,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2011/12,3.98,47890
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2012/13,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2013/14,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2014/15,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2015/16,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2016/17,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2030/31,2017/18,0.01,30
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1984/85,8.78,130340
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1985/86,41.74,491380
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1986/87,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1987/88,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1988/89,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1989/90,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1990/91,0.49,4640
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1991/92,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1992/93,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1993/94,0.03,250
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1994/95,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1995/96,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1996/97,0.19,1460
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1997/98,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1998/99,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,1999/2000,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2000/01,12.94,110470
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2001/02,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2002/03,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2003/04,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2004/05,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2005/06,6.96,80900
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2006/07,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2007/08,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2008/09,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2009/10,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2010/11,0.32,3080
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2011/12,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2012/13,0.69,6240
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2013/14,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2014/15,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2015/16,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2016/17,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2035/36,2017/18,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1984/85,7.41,123210
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1985/86,42.96,662090
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1986/87,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1987/88,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1988/89,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1989/90,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1990/91,7.5,60720
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1991/92,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1992/93,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1993/94,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1994/95,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1995/96,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1996/97,0.83,9790
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1997/98,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1998/99,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,1999/2000,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2000/01,22.36,227620
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2001/02,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2002/03,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2003/04,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2004/05,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2005/06,17.12,216760
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2006/07,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2007/08,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2008/09,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2009/10,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2010/11,1.27,14860
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2011/12,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2012/13,0.53,4910
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2013/14,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2014/15,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2015/16,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2016/17,0,0
Sensitivity 02: Portfolio 1 with a 10% demand increase at all times,2040/41,2017/18,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1984/85,27.54,577160
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1985/86,78.32,1509770
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1986/87,2.31,18980
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1987/88,0.59,4380
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1988/89,0.62,7340
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1989/90,1.49,13530
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1990/91,112.83,1444440
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1991/92,7,67530
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1992/93,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1993/94,7.63,70150
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1994/95,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1995/96,0.07,300
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1996/97,104.55,2275380
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1997/98,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1998/99,5.29,56010
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,1999/2000,0.45,3500
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2000/01,64.01,956870
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2001/02,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2002/03,2.17,19900
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2003/04,0.19,1690
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2004/05,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2005/06,59.3,1048310
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2006/07,0.71,6090
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2007/08,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2008/09,13.32,119720
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2009/10,0.09,510
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2010/11,24.91,474040
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2011/12,2.51,22050
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2012/13,14.24,220720
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2013/14,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2014/15,0.35,1800
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2015/16,0,0
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2016/17,0.06,200
Sensitivity 03: Portfolio 1 with a 20% demand increase at all times,2040/41,2017/18,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1984/85,3.22,25460
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1985/86,3.33,23100
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1986/87,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1987/88,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1988/89,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1989/90,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1990/91,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1991/92,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1992/93,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1993/94,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1994/95,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1995/96,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1996/97,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1997/98,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1998/99,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,1999/2000,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2000/01,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2001/02,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2002/03,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2003/04,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2004/05,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2005/06,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2006/07,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2007/08,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2008/09,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2009/10,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2010/11,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2011/12,0.01,10
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2012/13,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2013/14,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2014/15,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2015/16,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2016/17,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2030/31,2017/18,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1984/85,0.94,5330
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1985/86,4.14,29180
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1986/87,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1987/88,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1988/89,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1989/90,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1990/91,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1991/92,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1992/93,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1993/94,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1994/95,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1995/96,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1996/97,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1997/98,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1998/99,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,1999/2000,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2000/01,0.05,240
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2001/02,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2002/03,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2003/04,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2004/05,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2005/06,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2006/07,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2007/08,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2008/09,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2009/10,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2010/11,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2011/12,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2012/13,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2013/14,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2014/15,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2015/16,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2016/17,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2035/36,2017/18,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1984/85,0.22,1160
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1985/86,3.27,30040
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1986/87,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1987/88,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1988/89,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1989/90,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1990/91,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1991/92,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1992/93,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1993/94,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1994/95,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1995/96,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1996/97,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1997/98,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1998/99,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,1999/2000,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2000/01,0.02,90
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2001/02,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2002/03,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2003/04,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2004/05,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2005/06,0.04,200
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2006/07,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2007/08,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2008/09,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2009/10,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2010/11,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2011/12,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2012/13,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2013/14,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2014/15,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2015/16,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2016/17,0,0
Sensitivity 04: Portfolio 1 with a 1% demand reduction at all times,2040/41,2017/18,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1984/85,6.41,67130
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1985/86,13.01,113870
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1986/87,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1987/88,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1988/89,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1989/90,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1990/91,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1991/92,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1992/93,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1993/94,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1994/95,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1995/96,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1996/97,0.25,1930
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1997/98,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1998/99,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,1999/2000,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2000/01,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2001/02,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2002/03,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2003/04,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2004/05,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2005/06,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2006/07,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2007/08,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2008/09,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2009/10,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2010/11,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2011/12,0.48,4220
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2012/13,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2013/14,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2014/15,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2015/16,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2016/17,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2030/31,2017/18,0.02,110
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2035/36,1984/85,3.13,26650
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2035/36,1985/86,12.98,106940
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2035/36,1986/87,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2035/36,1987/88,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2035/36,1988/89,0,0
Sensitivity 05: Portfolio 1 with a doubling of unabated gas forced outage rates,2035/36,1989/90,0,0
