Simulation Name,Spotlight year,Historical weather year,Weather-conditional LOLE (h/year),Weather-conditional EEU (MWh/year)
Portfolio 6,2040/41,2006/07,0,0
Portfolio 6,2040/41,2007/08,0,0
Portfolio 6,2040/41,2008/09,0,0
Portfolio 6,2040/41,2009/10,0,0
Portfolio 6,2040/41,2010/11,0,0
Portfolio 6,2040/41,2011/12,0,0
Portfolio 6,2040/41,2012/13,0,0
Portfolio 6,2040/41,2013/14,0,0
Portfolio 6,2040/41,2014/15,0,0
Portfolio 6,2040/41,2015/16,0,0
Portfolio 6,2040/41,2016/17,0,0
Portfolio 6,2040/41,2017/18,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1984/85,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1985/86,12.82,132590
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1986/87,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1987/88,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1988/89,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1989/90,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1990/91,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1991/92,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1992/93,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1993/94,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1994/95,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1995/96,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1996/97,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1997/98,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1998/99,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,1999/2000,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2000/01,0.57,5680
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2001/02,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2002/03,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2003/04,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2004/05,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2005/06,0.63,5650
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2006/07,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2007/08,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2008/09,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2009/10,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2010/11,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2011/12,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2012/13,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2013/14,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2014/15,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2015/16,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2016/17,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2035/36,2017/18,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1984/85,3.08,21200
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1985/86,54.3,1151070
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1986/87,0.16,1610
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1987/88,2.5,14970
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1988/89,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1989/90,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1990/91,50.4,732070
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1991/92,0.92,8960
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1992/93,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1993/94,0.32,3330
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1994/95,0,0
Sensitivity 01: A build-out of batteries and renewables while maintaining 35 GW of unabated gas,2040/41,1995/96,0,0
