Connection,Pathway,Variable,Category,Type,SubType,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Distributed,Electric Engagement,Capacity (MW),Base Load,Waste,Waste,2875.668,2884.286,2902.348,2919.746,2936.601,2953.023,2935.694,2895.541,2824.863,2776.057,2739.534,2712.202,2653.495,2584.004,2517.035,2469.223,2426.379,2375.231,2308.785,2243.974,2171.89,2119.764,2027.003,1893.649,1723.765,1614.892,1560.731
Distributed,Electric Engagement,Capacity (MW),Base Load,Waste,Waste CHP,263.6981,329.723,400.7087,471.6508,542.6031,613.5661,678.2522,691.844,701.394,713.2302,728.8257,749.1938,767.7986,784.2098,800.4712,811.8917,817.0302,816.3614,816.1566,818.8541,823.17,827.0483,830.3242,833.4046,837.6113,841.7314,844.8562
Distributed,Electric Engagement,Capacity (MW),Dispatchable,Gas,CCGT,1820.32,1820.32,1767.32,1767.32,1440.788,1387.788,1387.788,1387.788,1334.788,1334.788,1228.788,1228.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Electric Engagement,Capacity (MW),Dispatchable,Gas,Gas CHP,1781.395,1758.105,1748.425,1738.744,1729.064,1696.159,1661.705,1560.956,1451.861,1334.126,1207.277,1073.916,932.0098,810.0607,696.0492,594.0439,507.2447,429.5747,360.9103,287.4555,212.3625,134.9745,48.52098,38.8408,29.16062,19.48044,9.80026
Distributed,Electric Engagement,Capacity (MW),Dispatchable,Gas,Gas Reciprocating Engines,2544.465,2725.568,2943.613,3149.666,3338.646,3505.578,3526.327,3486.658,3394.465,3120.739,2690.962,2188.99,1689.089,1291.957,1010.234,764.7376,484.7216,181.8428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Electric Engagement,Capacity (MW),Dispatchable,Hydrogen,Hydrogen CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02943,22.34382,32.46758,43.44536,55.03315,67.42162,77.94026,87.71521,96.36529,103.5907,109.9608,115.4871,121.4622,127.5908,133.9345,141.1275,141.1275,141.1275,141.1275,141.1275
Distributed,Electric Engagement,Capacity (MW),Dispatchable,Hydrogen,Hydrogen Peaking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.5283,363.5104,558.7916,764.3507,981.3297,1211.072,1455.174,1715.549,1994.522,2294.954,2620.423,2975.48,3366.042,3800.0,4800.0,4800.0,4800.0,4800.0
Distributed,Electric Engagement,Capacity (MW),Dispatchable,Other Thermal,Diesel,1305.32,1209.467,1107.389,971.2019,678.8597,427.1339,280.3274,194.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Electric Engagement,Capacity (MW),Renewable,Hydro,Hydro,324.267,333.2988,344.2139,355.4528,367.0264,378.9456,391.2216,401.9099,412.8618,424.0846,435.5859,447.3732,457.2174,467.2538,477.4868,487.9209,498.5606,506.9176,515.3936,523.9907,532.7113,541.5575,550.5317,559.6362,568.8732,578.2451,587.7542
Distributed,Electric Engagement,Capacity (MW),Renewable,Offshore Wind,Offshore Wind,681.2,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7,739.7
